ID,Name,SMILES,MW,LogP,HBD,HBA,TPSA,RotB,GI absorption,Plant,Source
LIG_0001,Azadirachtin,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,302.24,1.23,5,7,131.36,1,High,Azadirachta indica( Neem),African_Plants
LIG_0002,Nimbin,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,286.24,1.73,4,6,111.13,1,High,Azadirachta indica( Neem),African_Plants
LIG_0003,Quercetin,Oc1cc2c(=O)oc3c4c2c(c1O)oc(=O)c4cc(c3O)O,302.19,1.0,4,8,141.34,0,High,Combretum micranthum(Kinkeliba),African_Plants
LIG_0004,Luteolin,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@@H](Cc2c(c1)O)O,290.27,0.85,5,6,110.38,1,High,Combretum micranthum(Kinkeliba),African_Plants
LIG_0005,Vitexin,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@H](Cc2c(c1)O)O,290.27,0.83,5,6,110.38,1,High,Combretum micranthum(Kinkeliba),African_Plants
LIG_0006,Ellagic Acid,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,286.24,1.58,4,6,111.13,1,High,Combretum micranthum(Kinkeliba),African_Plants
LIG_0007,Epicatechin,O=C1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@H]([C@H]1C)CC[C@H]4C)OO3,282.33,2.49,0,5,53.99,0,High,Combretum micranthum(Kinkeliba),African_Plants
LIG_0008,Catechin,OC(=O)CCC(=O)O[C@@H]1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@H]([C@H]1C)CC[C@H]4C)OO3,384.42,2.13,1,8,100.52,5,High,Combretum micranthum(Kinkeliba),African_Plants
LIG_0009,Kaempferol,CC12CCC(CC1)C(O2)(C)C,154.25,2.67,0,1,9.23,0,High,Moringa oleifera,African_Plants
LIG_0010,Isoquercetin,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,254.24,2.38,2,4,74.6,0,High,Moringa oleifera,African_Plants
LIG_0011,Chlorogenic Acid,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1)O,270.24,1.87,3,5,94.83,0,High,Moringa oleifera,African_Plants
LIG_0012,Artemisinin,OC(=O)c1cc(O)c(c(c1)O)O,170.12,0.21,4,5,97.99,1,High,Artemisia annua,African_Plants
LIG_0013,Artesunate,OC(=O)/C=C/c1ccc(c(c1)O)O,180.16,0.93,3,4,77.76,2,High,Artemisia annua,African_Plants
LIG_0014,"1,8-Cineole",S=C=NCc1ccccc1,149.21,2.91,0,1,44.45,2,High,Artemisia annua,African_Plants
LIG_0015,,CCNCCN,88.15,-0.45,2,2,38.05,3,Unknown,Natural Product,COCONUT
LIG_0016,,CCOO,62.07,0.5,1,2,29.46,1,Unknown,Natural Product,COCONUT
LIG_0017,,O=C1CCC(=O)C1,98.1,0.31,0,2,34.14,0,Unknown,Natural Product,COCONUT
LIG_0018,,Oc1ccoc1O,100.07,0.69,2,3,53.6,0,Unknown,Natural Product,COCONUT
LIG_0019,,C/C=C/C=C/C,82.15,2.14,0,0,0.0,1,Unknown,Natural Product,COCONUT
LIG_0020,,C=CC(C)C,70.13,1.83,0,0,0.0,1,Unknown,Natural Product,COCONUT
LIG_0021,,C1COCCN1,87.12,-0.39,1,2,21.26,0,Unknown,Natural Product,COCONUT
LIG_0022,,N#CCC(N)=O,84.08,-0.61,1,2,66.88,1,Unknown,Natural Product,COCONUT
LIG_0023,,CC(C)/C=C/C=O,98.14,1.4,0,1,17.07,2,Unknown,Natural Product,COCONUT
LIG_0024,,[Ca],40.08,-0.38,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0025,,[He],4.0,0.0,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0026,,CC1=C(C)CCC1,96.17,2.51,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0027,,C[C@@H]1OCCC1=O,100.12,0.36,0,2,26.3,0,Unknown,Natural Product,COCONUT
LIG_0028,,CC/C=C\C=O,84.12,1.15,0,1,17.07,2,Unknown,Natural Product,COCONUT
LIG_0029,,C[C@H](O)CCO,90.12,-0.25,2,2,40.46,2,Unknown,Natural Product,COCONUT
LIG_0030,,C[C@@H](O)CC#N,85.11,0.28,1,2,44.02,1,Unknown,Natural Product,COCONUT
LIG_0031,,[Tc],98.0,-0.0,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0032,,CC1=COCC1,84.12,1.31,0,1,9.23,0,Unknown,Natural Product,COCONUT
LIG_0033,,CC(C)CC=O,86.13,1.23,0,1,17.07,2,Unknown,Natural Product,COCONUT
LIG_0034,,[Ge],72.61,-0.38,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0035,,CCC(O)O,76.09,-0.29,2,2,40.46,1,Unknown,Natural Product,COCONUT
LIG_0036,,CCCC(=O)CC,100.16,1.77,0,1,17.07,3,Unknown,Natural Product,COCONUT
LIG_0037,,N#CC(=O)C#N,80.05,-0.4,0,3,64.65,0,Unknown,Natural Product,COCONUT
LIG_0038,,[O]O,33.01,-0.11,1,1,40.13,0,Unknown,Natural Product,COCONUT
LIG_0039,,O=C(O)C(=O)O,90.03,-0.84,2,2,74.6,0,Unknown,Natural Product,COCONUT
LIG_0040,,O=C1C[C@H]1CO,86.09,-0.43,1,2,37.3,1,Unknown,Natural Product,COCONUT
LIG_0041,,N=C(N)NN,74.09,-1.66,4,2,87.92,0,Unknown,Natural Product,COCONUT
LIG_0042,,C/C=N\N(C)C=O,100.12,0.08,0,2,32.67,2,Unknown,Natural Product,COCONUT
LIG_0043,,O=C1C=C(O)CO1,100.07,-0.01,1,3,46.53,0,Unknown,Natural Product,COCONUT
LIG_0044,,C[C@@]12CC[C@]1(C)C2,96.17,2.2,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0045,,[O-][Cl+2]([O-])O,84.46,-2.94,1,3,66.35,0,Unknown,Natural Product,COCONUT
LIG_0046,,CC(C)C,58.12,1.66,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0047,,ClC=CCl,96.94,1.94,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0048,,CCn1cnnc1,97.12,0.3,0,2,30.71,1,Unknown,Natural Product,COCONUT
LIG_0049,,C/N=C/C=[SH+],88.16,-0.23,0,1,12.36,1,Unknown,Natural Product,COCONUT
LIG_0050,,C/C=C\CC=O,84.12,1.15,0,1,17.07,2,Unknown,Natural Product,COCONUT
LIG_0051,,NCC([O])=O,74.06,-1.1,1,2,62.99,1,Unknown,Natural Product,COCONUT
LIG_0052,,C/C=C(\C)C=O,84.12,1.15,0,1,17.07,1,Unknown,Natural Product,COCONUT
LIG_0053,,C=CCN=[N+]=[N-],83.09,1.48,0,1,48.76,2,Unknown,Natural Product,COCONUT
LIG_0054,,C/C=C/C=C/CC,96.17,2.53,0,0,0.0,2,Unknown,Natural Product,COCONUT
LIG_0055,,CC(=O)C=C(C)C,98.14,1.54,0,1,17.07,1,Unknown,Natural Product,COCONUT
LIG_0056,,CC[C@H](C)C#N,83.13,1.56,0,1,23.79,1,Unknown,Natural Product,COCONUT
LIG_0057,,CC/C=C/CC#N,95.15,1.87,0,1,23.79,2,Unknown,Natural Product,COCONUT
LIG_0058,,COC=O,60.05,-0.21,0,2,26.3,1,Unknown,Natural Product,COCONUT
LIG_0059,,CC[C@H](C)C(C)=O,100.16,1.62,0,1,17.07,2,Unknown,Natural Product,COCONUT
LIG_0060,,Cc1cncs1,99.16,1.45,0,2,12.89,0,Unknown,Natural Product,COCONUT
LIG_0061,,Nc1cc[nH]n1,83.09,-0.01,2,2,54.7,0,Unknown,Natural Product,COCONUT
LIG_0062,,CC1(C)CCCC1,98.19,2.59,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0063,,CC1=N[C@H](C)CN1,98.15,0.4,1,2,24.39,0,Unknown,Natural Product,COCONUT
LIG_0064,,C=CC(C)(C)O,86.13,0.94,1,1,20.23,1,Unknown,Natural Product,COCONUT
LIG_0065,,C/C=C/CCCO,100.16,1.33,1,1,20.23,3,Unknown,Natural Product,COCONUT
LIG_0066,,CSC,62.14,0.98,0,1,0.0,0,Unknown,Natural Product,COCONUT
LIG_0067,,C=C(C)CC(C)=O,98.14,1.54,0,1,17.07,2,Unknown,Natural Product,COCONUT
LIG_0068,,CCC[C@H](C)O,88.15,1.17,1,1,20.23,2,Unknown,Natural Product,COCONUT
LIG_0069,,CSC#N,73.12,0.83,0,2,23.79,0,Unknown,Natural Product,COCONUT
LIG_0070,,CC(=O)C#N,69.06,0.1,0,2,40.86,0,Unknown,Natural Product,COCONUT
LIG_0071,,C=CCCCC#N,95.14,1.87,0,1,23.79,3,Unknown,Natural Product,COCONUT
LIG_0072,,COc1ccoc1,98.1,1.29,0,2,22.37,1,Unknown,Natural Product,COCONUT
LIG_0073,,OCC(O)CO,92.09,-1.67,3,3,60.69,2,Unknown,Natural Product,COCONUT
LIG_0074,,C=COCC,72.11,1.17,0,1,9.23,2,Unknown,Natural Product,COCONUT
LIG_0075,,CC1CCNCC1,99.18,1.01,1,1,12.03,0,Unknown,Natural Product,COCONUT
LIG_0076,,NC(=O)NO,76.05,-0.96,3,2,75.35,0,Unknown,Natural Product,COCONUT
LIG_0077,,CC(C)=CC=O,84.12,1.15,0,1,17.07,1,Unknown,Natural Product,COCONUT
LIG_0078,,C#CC(C)C,68.12,1.28,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0079,,O=CC(=O)O,74.03,-0.73,1,2,54.37,1,Unknown,Natural Product,COCONUT
LIG_0080,,O=NN1CCCC1,100.12,0.76,0,2,32.67,1,Unknown,Natural Product,COCONUT
LIG_0081,,C=C[C@H](O)CC,86.13,0.94,1,1,20.23,2,Unknown,Natural Product,COCONUT
LIG_0082,,C#CCC=O,68.08,0.21,0,1,17.07,1,Unknown,Natural Product,COCONUT
LIG_0083,,C/C=C/C(C)=C/C,96.17,2.53,0,0,0.0,1,Unknown,Natural Product,COCONUT
LIG_0084,,ClC[C@@H]1CO1,92.53,0.62,0,1,12.53,1,Unknown,Natural Product,COCONUT
LIG_0085,,C=C(C)CC,70.13,1.97,0,0,0.0,1,Unknown,Natural Product,COCONUT
LIG_0086,,C[C@@H]1COCC1=O,100.12,0.22,0,2,26.3,0,Unknown,Natural Product,COCONUT
LIG_0087,,C=C1CCCCC1,96.17,2.51,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0088,,CCN=O,59.07,0.77,0,2,29.43,1,Unknown,Natural Product,COCONUT
LIG_0089,,C=CCC/C=C\C,96.17,2.53,0,0,0.0,3,Unknown,Natural Product,COCONUT
LIG_0090,,C1CNCCN1,86.14,-0.82,2,2,24.06,0,Unknown,Natural Product,COCONUT
LIG_0091,,C/C=C/C#N,67.09,1.09,0,1,23.79,0,Unknown,Natural Product,COCONUT
LIG_0092,,O=P(O)(O)O,97.99,-0.93,3,1,77.76,0,Unknown,Natural Product,COCONUT
LIG_0093,,CNCC(C)C,87.17,0.86,1,1,12.03,2,Unknown,Natural Product,COCONUT
LIG_0094,,O=CCS,76.12,0.12,1,2,17.07,1,Unknown,Natural Product,COCONUT
LIG_0095,,N#CN[N+](=O)[O-],87.04,-0.75,1,3,78.96,1,Unknown,Natural Product,COCONUT
LIG_0096,,C[C@@H]1CCC[C@H]1O,100.16,1.17,1,1,20.23,0,Unknown,Natural Product,COCONUT
LIG_0097,,NN=O,46.03,-0.37,1,2,55.45,0,Unknown,Natural Product,COCONUT
LIG_0098,,C[C@@H]1CCC[C@@H]1C,98.19,2.44,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0099,,CC=[N+]=[N-],56.07,0.31,0,0,36.4,0,Unknown,Natural Product,COCONUT
LIG_0100,,N#CCC(=O)O,85.06,-0.02,1,2,61.09,1,Unknown,Natural Product,COCONUT
LIG_0101,,C/C=C/CO,72.11,0.55,1,1,20.23,1,Unknown,Natural Product,COCONUT
LIG_0102,,CC1=NC[C@H](C)N1,98.15,0.4,1,2,24.39,0,Unknown,Natural Product,COCONUT
LIG_0103,,C/C=C\C=C\C,82.15,2.14,0,0,0.0,1,Unknown,Natural Product,COCONUT
LIG_0104,,CC(=O)CC(C)=O,100.12,0.55,0,2,34.14,2,Unknown,Natural Product,COCONUT
LIG_0105,,C1CCCCC1,84.16,2.34,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0106,,[AlH3],30.01,-1.18,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0107,,N=CCN,58.08,-0.41,2,2,49.87,1,Unknown,Natural Product,COCONUT
LIG_0108,,CC(C)ON=N,88.11,1.36,1,3,45.44,2,Unknown,Natural Product,COCONUT
LIG_0109,,F/C=C(/F)Cl,98.48,1.96,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0110,,CP(=O)(O)O,96.02,-0.21,2,1,57.53,0,Unknown,Natural Product,COCONUT
LIG_0111,,CN(C)CCO,89.14,-0.46,1,2,23.47,2,Unknown,Natural Product,COCONUT
LIG_0112,,[O-][S+]1CCC1,90.15,0.14,0,1,23.06,0,Unknown,Natural Product,COCONUT
LIG_0113,,C/C=C(\CC)CO,100.16,1.33,1,1,20.23,2,Unknown,Natural Product,COCONUT
LIG_0114,,[Y],88.91,-0.0,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0115,,CC/C=C\C/C=C/C=C/C(=O)OCC,194.27,3.02,0,2,26.3,6,Unknown,Natural Product,COCONUT
LIG_0116,,CCCCCCCCCc1cc[nH]n1,194.32,3.7,1,1,28.68,8,Unknown,Natural Product,COCONUT
LIG_0117,,[O]=[Fe][O][Fe]=[O],159.69,-0.31,0,3,43.37,2,Unknown,Natural Product,COCONUT
LIG_0118,,C[C@H](O)C[C@H]1CCCN1C,143.23,0.85,1,2,23.47,2,Unknown,Natural Product,COCONUT
LIG_0119,,C[C@@H]1C(=O)[C@]2(C)CC[C@H]1C2(C)C,166.26,2.65,0,1,17.07,0,Unknown,Natural Product,COCONUT
LIG_0120,,CCCCCCCCCC=C(C)C=O,196.33,4.27,0,1,17.07,9,Unknown,Natural Product,COCONUT
LIG_0121,,OC[C@H]1SC[C@@H](O)[C@@H]1O,150.2,-1.18,3,4,60.69,1,Unknown,Natural Product,COCONUT
LIG_0122,,C=Cc1ncc2ocnn12,135.13,0.97,0,3,43.33,1,Unknown,Natural Product,COCONUT
LIG_0123,,Cc1ccc(-c2cccnc2)nc1,170.22,2.45,0,2,25.78,1,Unknown,Natural Product,COCONUT
LIG_0124,,CC(=O)N1c2ccccc2C[C@H]1C,175.23,1.98,0,1,20.31,0,Unknown,Natural Product,COCONUT
LIG_0125,,CC1=C[C@H](C)[C@@]2(CO)CO[C@@H](C)[C@@H]1C2,196.29,1.99,1,2,29.46,1,Unknown,Natural Product,COCONUT
LIG_0126,,CS(=O)(=O)Cc1ccccc1,170.23,1.23,0,2,34.14,2,Unknown,Natural Product,COCONUT
LIG_0127,,O=Nc1cc2c[nH]cc2[nH]1,135.13,1.89,2,2,61.01,1,Unknown,Natural Product,COCONUT
LIG_0128,,O=C(O)/C=C/[C@H](O)CCCCCO,188.22,0.54,3,3,77.76,7,Unknown,Natural Product,COCONUT
LIG_0129,,C=C(C)[C@H]1CC=C(COC(C)=O)CC1,194.27,2.85,0,2,26.3,3,Unknown,Natural Product,COCONUT
LIG_0130,,O=C1CCCC1=C1SCCS1,186.3,2.43,0,3,17.07,0,Unknown,Natural Product,COCONUT
LIG_0131,,CCCCCCC[C@@H](C)CC,156.31,4.39,0,0,0.0,7,Unknown,Natural Product,COCONUT
LIG_0132,,N=c1nc(O)c2ncc(O)nc2[nH]1,179.14,-0.76,4,6,118.77,0,Unknown,Natural Product,COCONUT
LIG_0133,,CC(C)c1cccc(=O)cc1,148.2,2.17,0,1,17.07,1,Unknown,Natural Product,COCONUT
LIG_0134,,C=C(CCC(=O)O)C(=C)CC(=O)O,184.19,1.44,2,2,74.6,6,Unknown,Natural Product,COCONUT
LIG_0135,,C1CCCSSSCC1,180.36,3.59,0,3,0.0,0,Unknown,Natural Product,COCONUT
LIG_0136,,CC#CC#CC#C/C=C\c1ccco1,180.21,2.32,0,1,13.14,1,Unknown,Natural Product,COCONUT
LIG_0137,,C/C=C/C1=C[C@H](O)[C@H](O)C1=O,154.16,-0.21,2,3,57.53,1,Unknown,Natural Product,COCONUT
LIG_0138,,C=C(C)C1CCC(=O)CC1,138.21,2.32,0,1,17.07,1,Unknown,Natural Product,COCONUT
LIG_0139,,NC(N)=NOCC[C@@H](N)C(=O)O,176.18,-2.01,4,4,136.95,5,Unknown,Natural Product,COCONUT
LIG_0140,,CC/C=N/Nc1ccccc1,148.21,2.49,1,2,24.39,3,Unknown,Natural Product,COCONUT
LIG_0141,,C=C[C@H]1O[C@H]1/C=C/C#CC#CC#CC,182.22,1.53,0,1,12.53,2,Unknown,Natural Product,COCONUT
LIG_0142,,CC(C)(O)CCC[C@@H]1CCC(=O)O1,186.25,1.63,1,3,46.53,4,Unknown,Natural Product,COCONUT
LIG_0143,,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,152.24,2.28,1,1,20.23,1,Unknown,Natural Product,COCONUT
LIG_0144,,CC1=CCC(C)=C1C,108.18,2.67,0,0,0.0,0,Unknown,Natural Product,COCONUT
LIG_0145,,Cn1ncc2c(NCCN)ncnc21,192.23,-0.27,2,5,81.65,3,Unknown,Natural Product,COCONUT
LIG_0146,,O=c1ccc2cc3c(cc2o1)OCO3,190.15,1.52,0,4,48.67,0,Unknown,Natural Product,COCONUT
LIG_0147,,CN(C)[C@@H]1CCCCNC1=O,156.23,0.22,1,2,32.34,1,Unknown,Natural Product,COCONUT
LIG_0148,,COC1=C(C)C(=O)CC(=O)C1(C)C,182.22,1.47,0,3,43.37,1,Unknown,Natural Product,COCONUT
LIG_0149,,CN1CCc2c([nH]c3ccccc23)C1,186.26,2.16,1,1,19.03,0,Unknown,Natural Product,COCONUT
LIG_0150,,O=C1CCC(=O)c2c(O)ccc(O)c21,192.17,1.26,2,4,74.6,0,Unknown,Natural Product,COCONUT
LIG_0151,,Cc1cc(C(C)(C)C)nc(N)n1,165.24,1.66,1,3,51.8,0,Unknown,Natural Product,COCONUT
LIG_0152,,C#CCCCCCCCCC(=O)OC,196.29,2.91,0,2,26.3,8,Unknown,Natural Product,COCONUT
LIG_0153,,CC(=O)/C=C(\C)CCCCCC(=O)O,198.26,2.56,1,2,54.37,7,Unknown,Natural Product,COCONUT
LIG_0154,,Cc1cc(O)cc2c1C(=O)[C@](C)(O)O2,194.19,0.98,2,4,66.76,0,Unknown,Natural Product,COCONUT
LIG_0155,,COC(=O)[C@H](N)c1cccc(OC)c1,195.22,0.87,1,4,61.55,3,Unknown,Natural Product,COCONUT
LIG_0156,,C[C@@]1(O)C[C@@]2(CO1)OC[C@@H](O)[C@@H]2O,190.2,-1.39,3,5,79.15,0,Unknown,Natural Product,COCONUT
LIG_0157,,COC(=O)c1cnccn1,138.13,0.26,0,4,52.08,1,Unknown,Natural Product,COCONUT
LIG_0158,,CCc1cscc1C(C)(C)CC,182.33,4.0,0,1,0.0,3,Unknown,Natural Product,COCONUT
LIG_0159,,C[C@H]1C[C@@H]2OC(=O)[C@H](C)[C@H]2C=CC1=O,194.23,1.33,0,3,43.37,0,Unknown,Natural Product,COCONUT
LIG_0160,,COc1ccc(CCN)cc1,151.21,1.2,1,2,35.25,3,Unknown,Natural Product,COCONUT
LIG_0161,,CC[C@@H](Cc1ccccc1)NC(C)=O,191.27,2.14,1,1,29.1,4,Unknown,Natural Product,COCONUT
LIG_0162,,O=C(O)[C@H](O)[C@@H](O)[C@H](O)CO,166.13,-2.85,5,5,118.22,4,Unknown,Natural Product,COCONUT
